name,value,Specific Action of the Ligand,Notes
Mechanism of Action,Potassium channel subfamily K member 2 opener,Opener,
Mechanism of Action,Motilin receptor agonist,Agonist,
Mechanism of Action,Telomerase reverse transcriptase inhibitor,Inhibition,
Mechanism of Action,"5,6-dihydroxyindole-2-carboxylic acid oxidase other",Binding,
Mechanism of Action,Phosphodiesterase 5A inhibitor,Inhibition,
Mechanism of Action,Myeloperoxidase inhibitor,Inhibition,
Mechanism of Action,Matrix metalloproteinase-1 inhibitor,Inhibition,
Mechanism of Action,Glucocorticoid receptor antagonist,Antagonist,
Mechanism of Action,Sphingosine 1-phosphate receptor Edg-1 agonist,Agonist,
Mechanism of Action,Purinergic receptor P2Y12 antagonist,Antagonist,
Mechanism of Action,Solute carrier family 22 member 6 inhibitor,Inhibition,
Mechanism of Action,Mitogen-activated protein kinase kinase kinase 11 inhibitor,Inhibition,
Mechanism of Action,Neuronal acetylcholine receptor; alpha9/alpha10 antagonist,Antagonist,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 9 agonist,Agonist,
Mechanism of Action,Aldose reductase inhibitor,Inhibition,
Mechanism of Action,Toll-like receptor 7 activator,Activation,
Mechanism of Action,Melanocyte protein PMEL binding agent,Binding agent,
Mechanism of Action,Mu opioid receptor partial agonist,Partial agonist,
Mechanism of Action,C-C chemokine receptor type 5 inhibitor,Inhibition,
Mechanism of Action,Alpha-synuclein binding agent,Binding agent,
Mechanism of Action,Endothelial PAS domain-containing protein 1 inhibitor,Inhibition,
Mechanism of Action,Dopamine D1 receptor positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,NADPH oxidase 4 inhibitor,Inhibition,
Mechanism of Action,Sphingosine 1-phosphate receptor binding agent,Binding agent,
Mechanism of Action,p38 mitogen-activated protein kinase (MAPKs) inhib,Inhibition,
Mechanism of Action,Histamine H1 receptor agonist,Agonist,
Mechanism of Action,Interleukin-8 receptor A modulator,Modulator,
Mechanism of Action,Cannabinoid CB1 receptor antagonist,Antagonist,
Mechanism of Action,Histone deacetylase 1 inhibitor,Inhibition,
Mechanism of Action,Sodium/hydrogen exchanger 3 inhibitor,Inhibition,
Mechanism of Action,Neurogenic locus notch homolog protein 2 inhibitor,Inhibition,
Mechanism of Action,Interleukin-33 inhibitor,Inhibition,
Mechanism of Action,Non-competitive,Non-competitive binding,
Mechanism of Action,Integrin alpha-4/beta-7 inhibitor,Inhibition,
Mechanism of Action,Somatostatin receptor 3 agonist,Agonist,
Mechanism of Action,Fibroblast growth factor receptor 4 inhibitor,Inhibition,
Mechanism of Action,TRAIL receptor-1 agonist,Agonist,
Mechanism of Action,Tankyrase 1/2 inhibitor,Inhibition,
Mechanism of Action,Soluble guanylate cyclase positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Serotonin 2b (5-HT2b) receptor antagonist,Antagonist,
Mechanism of Action,Free fatty acid receptor 1 agonist,Agonist,
Mechanism of Action,Plasminogen inhibitor,Inhibition,
Mechanism of Action,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Inhibition,
Mechanism of Action,Platelet-derived growth factor receptor agonist,Agonist,
Mechanism of Action,Serotonin 2a (5-HT2a) receptor inverse agonist,Inverse agonist,
Mechanism of Action,Leukocyte adhesion molecule-1 antagonist,Antagonist,
Mechanism of Action,CD40 ligand inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-M/beta-2 antagonist,Antagonist,
Mechanism of Action,Integrin alpha-L/beta-2 (LFA-1) antagonist,Antagonist,
Mechanism of Action,Receptor protein-tyrosine kinase erbB-2 cross-linking agent,Cross-linking agent,
Mechanism of Action,Matrix metalloproteinase-2 inhibitor,Inhibition,
Mechanism of Action,Heat shock 70 kDa protein 1A/1B inhibitor,Inhibition,
Mechanism of Action,Interleukin-1 alpha inhibitor,Inhibition,
Mechanism of Action,Inducible T-cell costimulator agonist,Agonist,
Mechanism of Action,T-cell immunoreceptor with Ig and ITIM domains antagonist,Antagonist,
Mechanism of Action,Prostanoid EP2 receptor agonist,Agonist,
Mechanism of Action,Monoglyceride lipase inhibitor,Inhibition,
Mechanism of Action,IDH1/IDH2 inhibitor,Inhibition,
Mechanism of Action,Coagulation factor VIII positive modulator,Positive modulator,
Mechanism of Action,DNA topoisomerase II alpha inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 8 inhibitor,Inhibition,
Mechanism of Action,"Carbamoyl-phosphate synthase [ammonia], mitochondrial positive allosteric modulator",Positive allosteric modulator,
Mechanism of Action,Ribosomal protein S6 kinase (P70S6K) inhibitor,Inhibition,
Mechanism of Action,Nicotinamide phosphoribosyltransferase inhibitor,Inhibition,
Mechanism of Action,Basic fibroblast growth factor inhibitor,Inhibition,
Mechanism of Action,CD70 antigen cross-linking agent,Cross-linking agent,
Mechanism of Action,Envelope glycoprotein binding agent,Binding agent,
Mechanism of Action,Cap binding complex modulator,Modulator,
Mechanism of Action,Glucocorticoid receptor modulator,Modulator,
Mechanism of Action,Smoothened homolog inhibitor,Inhibition,
Mechanism of Action,T-lymphocyte activation antigen CD80 inhibitor,Inhibition,
Mechanism of Action,Glycogen synthase kinase-3 inhibitor,Inhibition,
Mechanism of Action,Serotonin 1b (5-HT1b) receptor antagonist,Antagonist,
Mechanism of Action,Apoptosis regulator Bcl-W inhibitor,Inhibition,
Mechanism of Action,Pyruvate dehydrogenase kinase inhibitor,Inhibition,
Mechanism of Action,Calcitonin gene-related peptide type 1 receptor antagonist,Antagonist,
Mechanism of Action,T-cell-specific surface glycoprotein CD28 agonist,Agonist,
Mechanism of Action,Synaptic vesicle protein modulator,Modulator,
Mechanism of Action,Neuropeptide Y receptor type 2 agonist,Agonist,
Mechanism of Action,"VEGFR, EGFR, and RET inhibitor",Inhibition,
Mechanism of Action,Enoyl-[acyl-carrier-protein] reductase inhibitor,Inhibition,
Mechanism of Action,LXR-beta modulator,Modulator,
Mechanism of Action,Serine/threonine-protein kinase PIM inhibitor,Inhibition,
Mechanism of Action,Solute carrier family 22 member 8 inhibitor,Inhibition,
Mechanism of Action,Melanocortin receptor 3 agonist,Agonist,
Mechanism of Action,Interleukin-4 receptor subunit alpha antagonist,Antagonist,
Mechanism of Action,C-type lectin domain family 4 member C inhibitor,Inhibition,
Mechanism of Action,"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform inhibitor",Inhibition,
Mechanism of Action,Growth/differentiation factor 8 inhibitor,Inhibition,
Mechanism of Action,Alpha-ketoglutarate-dependent dioxygenase FTO inhibitor,Inhibition,
Mechanism of Action,Complement factor D inhibitor,Inhibition,
Mechanism of Action,Syndecan-1 binding agent,Binding agent,
Mechanism of Action,Tyrosine-protein kinase TYK2 inhibitor,Inhibition,
Mechanism of Action,Inositol-1(or 4)-monophosphatase 1 inhibitor,Inhibition,
Mechanism of Action,Ryanodine receptor 3 antagonist,Antagonist,
Mechanism of Action,Prostaglandin E2 receptor agonist,Agonist,
Mechanism of Action,Cyclin-dependent kinase 9 inhibitor,Inhibition,
Mechanism of Action,Serotonin 7 (5-HT7) receptor antagonist,Antagonist,
Mechanism of Action,Coagulation factor XII activator,Activation,
Mechanism of Action,Purinergic receptor P2Y1 agonist,Agonist,
Mechanism of Action,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 binding agent,Binding agent,
Mechanism of Action,DNA-(apurinic or apyrimidinic site) lyase inhibitor,Inhibition,
Mechanism of Action,IL36 receptor antagonist,Antagonist,
Mechanism of Action,Phosphodiesterase 10A inhibitor,Inhibition,
Mechanism of Action,"Calcitonin-gene-related peptide receptor, CALCRL/RAMP1 antagonist",Antagonist,
Mechanism of Action,"RTK, HGFR, VEGFR2, KIT, Flt3, and Tie-2 inhibitor",Inhibition,
Mechanism of Action,Melanocortin receptor 2 agonist,Agonist,
Mechanism of Action,Receptor protein-tyrosine kinase erbB-2 binding agent,Binding agent,
Mechanism of Action,Histamine H1 receptor inverse agonist,Inverse agonist,
Mechanism of Action,Alpha-galactosidase A stabiliser,Stabiliser,
Mechanism of Action,Thyrotropin-releasing hormone receptor agonist,Agonist,
Mechanism of Action,Cathepsin S inhibitor,Inhibition,
Mechanism of Action,RAS inhibitor,Inhibition,
Mechanism of Action,DNA-directed RNA polymerase I subunit RPA1 inhibitor,Inhibition,
Mechanism of Action,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener",Opener,
Mechanism of Action,GABA transporter 1 inhibitor,Inhibition,
Mechanism of Action,Neuronal acetylcholine receptor; alpha4/beta2 modulator,Modulator,
Mechanism of Action,Delta(24)-sterol reductase inhibitor,Inhibition,
Mechanism of Action,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET inhibitor,Inhibition,
Mechanism of Action,Repulsive guidance molecule A inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor ligand superfamily member 6 binding agent,Binding agent,
Mechanism of Action,Proto-oncogene tyrosine-protein kinase MER inhibitor,Inhibition,
Mechanism of Action,Gastric inhibitory polypeptide receptor agonist,Agonist,
Mechanism of Action,Multidrug resistance-associated protein 1 inhibitor,Inhibition,
Mechanism of Action,Tubulin and Bcl2 inhibitor,Inhibition,
Mechanism of Action,RFC-1 targeted DHFR inhibitor,Inhibition,
Mechanism of Action,immunostimulator,Stimulator,
Mechanism of Action,Steroid 5-alpha-reductase 2 inhibitor,Inhibition,
Mechanism of Action,MAP kinase-activated protein kinase 2 inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase AKT2 inhibitor,Inhibition,
Mechanism of Action,Folate receptor alpha inhibitor,Inhibition,
Mechanism of Action,Lysosomal alpha-glucosidase stabiliser,Stabiliser,
Mechanism of Action,Coagulation factor V inhibitor,Inhibition,
Mechanism of Action,Quinone reductase 1) modulator,Modulator,
Mechanism of Action,Transforming growth factor beta-3 inhibitor,Inhibition,
Mechanism of Action,Serotonin 2 (5-HT2) receptor antagonist,Antagonist,
Mechanism of Action,Platelet activating factor receptor antagonist,Antagonist,
Mechanism of Action,Anandamide amidohydrolase inhibitor,Inhibition,
Mechanism of Action,Interleukin-3 receptor subunit alpha binding agent,Binding agent,
Mechanism of Action,MEK 1/2 inhibitor,Inhibition,
Mechanism of Action,Chloride channel protein 2 opener,Opener,
Mechanism of Action,NT-3 growth factor receptor inhibitor,Inhibition,
Mechanism of Action,Vasopressin V1b receptor antagonist,Antagonist,
Mechanism of Action,Cyclin-dependent kinase 5 inhibitor,Inhibition,
Mechanism of Action,Prostatic acid phosphatase binding agent,Binding agent,
Mechanism of Action,Triggering receptor expressed on myeloid cells 1 inhibitor,Inhibition,
Mechanism of Action,"Amylin receptor AMY1, CALCR/RAMP1 agonist",Agonist,
Mechanism of Action,Amylin receptor AMY3; CALCR/RAMP3 agonist,Agonist,
Mechanism of Action,Amylin receptor AMY2; CALCR/RAMP2 agonist,Agonist,
Mechanism of Action,Estrogen-related receptor gamma antagonist,Antagonist,
Mechanism of Action,Serine/threonine-protein kinase WEE1 inhibitor,Inhibition,
Mechanism of Action,Neuronal acetylcholine receptor; alpha4/beta2 antagonist,Antagonist,
Mechanism of Action,Glycine transporter 1 inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase Chk2 inhibitor,Inhibition,
Mechanism of Action,GDNF family receptor alpha-1 agonist,Agonist,
Mechanism of Action,Mucin-1 other,Binding,
Mechanism of Action,Cholecystokinin receptor antagonist,Antagonist,
Mechanism of Action,Hemoglobin HbA positive modulator,Positive modulator,
Mechanism of Action,Glypican-3 inhibitor,Inhibition,
Mechanism of Action,Lymphocyte antigen 75 binding agent,Binding agent,
Mechanism of Action,Pyruvate kinase isozymes R/L activator,Activation,
Mechanism of Action,"VEFGR, c-Kit, and PDGFR inhibitor",Inhibition,
Mechanism of Action,Potassium channel subfamily K member 9 opener,Opener,
Mechanism of Action,Inward rectifier potassium channel 2 blocker,Blocker,
Mechanism of Action,Glycogen synthase kinase-3 beta inhibitor,Inhibition,
Mechanism of Action,Adenosine A1 receptor partial agonist,Partial agonist,
Mechanism of Action,Calcium sensing receptor positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Dickkopf-related protein 1 inhibitor,Inhibition,
Mechanism of Action,Platelet glycoprotein Ib alpha chain antagonist,Antagonist,
Mechanism of Action,Ephrin-B2 inhibitor,Inhibition,
Mechanism of Action,Liver X receptor agonist,Agonist,
Mechanism of Action,Neurokinin 2 receptor antagonist,Antagonist,
Mechanism of Action,"Nitric oxide synthase, inducible inhibitor",Inhibition,
Mechanism of Action,Coagulation factor VIII inhibitor,Inhibition,
Mechanism of Action,Adenosine A2 receptor antagonist,Antagonist,
Mechanism of Action,Connective tissue growth factor inhibitor,Inhibition,
Mechanism of Action,P-selectin inhibitor,Inhibition,
Mechanism of Action,Endothelin receptor ET-B binding agent,Binding agent,
Mechanism of Action,Fibrinogen beta chain binding agent,Binding agent,
Mechanism of Action,Prostate stem cell antigen inhibitor,Inhibition,
Mechanism of Action,Receptor-type tyrosine-protein phosphatase beta inhibitor,Inhibition,
Mechanism of Action,Integrase inhibitor,Inhibition,
Mechanism of Action,AMP-activated protein kinase (AMPK) activator,Activation,
Mechanism of Action,Estrogen receptor beta modulator,Modulator,
Mechanism of Action,Toll-like receptor 4/MD-2 antagonist,Antagonist,
Mechanism of Action,Integrin beta-2 inhibitor,Inhibition,
Mechanism of Action,Fibroblast growth factor receptor 2 antagonist,Antagonist,
Mechanism of Action,Beta-1 adrenergic receptor agonist,Agonist,
Mechanism of Action,Alcohol dehydrogenase class I inhibitor,Inhibition,
Mechanism of Action,ATP synthase inhibitor,Inhibition,
Mechanism of Action,Anoctamin-1 blocker,Blocker,
Mechanism of Action,Tyrosine-protein kinase Lyn inhibitor,Inhibition,
Mechanism of Action,Metabotropic glutamate receptor 5 negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Calcium-activated potassium channel subunit alpha-1 activator,Activation,
Mechanism of Action,Relaxin receptor 1 activator,Activation,
Mechanism of Action,Heparanase inhibitor,Inhibition,
Mechanism of Action,Acidic fibroblast growth factor inhibitor,Inhibition,
Mechanism of Action,Intercellular adhesion molecule 3 inhibitor,Inhibition,
Mechanism of Action,Inducible T-cell costimulator inhibitor,Inhibition,
Mechanism of Action,Interferon alpha/beta receptor positive modulator,Positive modulator,
Mechanism of Action,Cysteinyl leukotriene receptor 1 antagonist,Antagonist,
Mechanism of Action,Chymase inhibitor,Inhibition,
Mechanism of Action,IgG receptor FcRn large subunit p51 inhibitor,Inhibition,
Mechanism of Action,Interleukin-2 receptor alpha chain binding agent,Binding agent,
Mechanism of Action,Beta amyloid A4 protein disrupting agent,Disruption,
Mechanism of Action,MAP kinase-interacting serine/threonine-protein kinase 1/2 inhibitor,Inhibition,
Mechanism of Action,Adenosine A1 receptor modulator,Modulator,
Mechanism of Action,Utrophin modulator,Modulator,
Mechanism of Action,Serotonin 3a (5-HT3a) receptor antagonist,Antagonist,
Mechanism of Action,Cyclophilin A modulator,Modulator,
Mechanism of Action,Tyrosine-protein kinase LCK inhibitor,Inhibition,
Mechanism of Action,Discoidin domain-containing receptor 2 inhibitor,Inhibition,
Mechanism of Action,Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase A-Raf inhibitor,Inhibition,
Mechanism of Action,Metabotropic glutamate receptor 2 agonist,Agonist,
Mechanism of Action,Sodium channel protein type XI alpha subunit blocker,Blocker,
Mechanism of Action,von Willebrand factor inhibitor,Inhibition,
Mechanism of Action,Vascular endothelial growth factor receptor 2 antagonist,Antagonist,
Mechanism of Action,Interferon gamma inhibitor,Inhibition,
Mechanism of Action,T-cell surface glycoprotein CD3 epsilon chain inhibitor,Inhibition,
Mechanism of Action,Phosphodiesterase isozyme 4 inhibitor,Inhibition,
Mechanism of Action,Free fatty acid receptor 2 antagonist,Antagonist,
Mechanism of Action,Glucose-dependent insulinotropic receptor agonist,Agonist,
Mechanism of Action,Poly [ADP-ribose] polymerase-1 inhibitor,Inhibition,
Mechanism of Action,Prolow-density lipoprotein receptor-related protein 1 binding agent,Binding agent,
Mechanism of Action,Tyrosine-protein kinase Lyn positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Interleukin-15 receptor agonist,Agonist,
Mechanism of Action,Prostanoid EP3 receptor agonist,Agonist,
Mechanism of Action,inhibitor of apoptosis (IAP) antagonist,Antagonist,
Mechanism of Action,Muscarinic acetylcholine receptor M2 agonist,Agonist,
Mechanism of Action,Leukotriene B4 receptor 1 antagonist,Antagonist,
Mechanism of Action,Neurokinin 3 receptor antagonist,Antagonist,
Mechanism of Action,CD27 antigen agonist,Agonist,
Mechanism of Action,Somatostatin receptor binding agent,Binding agent,
Mechanism of Action,Leukocyte surface antigen CD47 inhibitor,Inhibition,
Mechanism of Action,Receptor tyrosine-protein kinase erbB-3 binding agent,Binding agent,
Mechanism of Action,Intermediate conductance calcium-activated potassium channel protein 4 opener,Opener,
Mechanism of Action,G1/S-specific cyclin D1 inhibitor,Inhibition,
Mechanism of Action,Glucagon receptor antagonist,Antagonist,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 5 partial agonist,Partial agonist,
Mechanism of Action,Thioredoxin inhibitor,Inhibition,
Mechanism of Action,"Glutamate receptor ionotropic, AMPA 2 antagonist",Antagonist,
Mechanism of Action,Thyroid stimulating hormone receptor agonist,Agonist,
Mechanism of Action,Growth hormone receptor agonist,Agonist,
Mechanism of Action,Serotonin 2c (5-HT2c) receptor agonist,Agonist,
Mechanism of Action,Cyclin-dependent kinase 7 inhibitor,Inhibition,
Mechanism of Action,Progesterone receptor antagonist,Antagonist,
Mechanism of Action,Mitogen-activated protein kinase kinase kinase 12 inhibitor,Inhibition,
Mechanism of Action,RNA-directed RNA polymerase inhibitor,Inhibition,
Mechanism of Action,Insulin-like growth factor I inhibitor,Inhibition,
Mechanism of Action,Rho-associated protein kinase 2 inhibitor,Inhibition,
Mechanism of Action,Atrial natriuretic peptide receptor agonist,Agonist,
Mechanism of Action,EGFR inhibitor,Inhibition,
Mechanism of Action,Serotonin 2b (5-HT2b) receptor partial agonist,Partial agonist,
Mechanism of Action,Dihydroorotate dehydrogenase inhibitor,Inhibition,
Mechanism of Action,Interferon beta inhibitor,Inhibition,
Mechanism of Action,Elongation factor 2 disrupting agent,Disruption,
Mechanism of Action,Vasopressin V1 receptor binding agent,Binding agent,
Mechanism of Action,Tyrosine-protein kinase ITK/TSK inhibitor,Inhibition,
Mechanism of Action,Casein kinase II alpha inhibitor,Inhibition,
Mechanism of Action,Calcium sensing receptor modulator,Modulator,
Mechanism of Action,Selectin inhibitor,Inhibition,
Mechanism of Action,Intercellular adhesion molecule-1 antagonist,Antagonist,
Mechanism of Action,Lymphocyte antigen 6E binding agent,Binding agent,
Mechanism of Action,Cytochrome P450 11A1 inhibitor,Inhibition,
Mechanism of Action,NEDD8 activating enzyme inhibitor,Inhibition,
Mechanism of Action,Histone deacetylase 2 inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-V/beta-6 inhibitor,Inhibition,
Mechanism of Action,HLA-DR antigens-associated invariant chain antagonist,Antagonist,
Mechanism of Action,Receptor tyrosine-protein kinase erbB-3 antagonist,Antagonist,
Mechanism of Action,Transient receptor potential cation channel subfamily V member 4 inhibitor,Inhibition,
Mechanism of Action,Melanocyte protein PMEL cross-linking agent,Cross-linking agent,
Mechanism of Action,Lysine-specific histone demethylase 1 inhibitor,Inhibition,
Mechanism of Action,Vanilloid receptor agonist,Agonist,
Mechanism of Action,Wilms tumor protein vaccine antigen,Vaccine antigen,
Mechanism of Action,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,Inhibition,
Mechanism of Action,pan-Aurora kinase inhibitor,Inhibition,
Mechanism of Action,ErbB3/Her3 inhibitor,Inhibition,
Mechanism of Action,DHFR and Thymidylate synthase inhibitor,Inhibition,
Mechanism of Action,Tyrosine 3-hydroxylase inhibitor,Inhibition,
Mechanism of Action,LXR-beta agonist,Agonist,
Mechanism of Action,5-lipoxygenase activating protein inhibitor,Inhibition,
Mechanism of Action,Coagulation factor IX and X other,Binding,
Mechanism of Action,Heterotrimeric lymphotoxin LTa1b2 inhibitor,Inhibition,
Mechanism of Action,Fibronectin other,Binding,
Mechanism of Action,Beta amyloid A4 protein inhibitor,Inhibition,
Mechanism of Action,Calmodulin inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor receptor R1 inhibitor,Inhibition,
Mechanism of Action,Fibroblast activation protein alpha binding agent,Binding agent,
Mechanism of Action,Human leukocyte antigen DR beta chain inhibitor,Inhibition,
Mechanism of Action,Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor,Inhibition,
Mechanism of Action,E3 ubiquitin ligase TRAF3IP2 inhibitor,Inhibition,
Mechanism of Action,Fractalkine inhibitor,Inhibition,
Mechanism of Action,p90RSK inhibitor,Inhibition,
Mechanism of Action,Acyl coenzyme A:cholesterol acyltransferase 1 inhibitor,Inhibition,
Mechanism of Action,Leukotriene A4 hydrolase inhibitor,Inhibition,
Mechanism of Action,Filamin-A positive modulator,Positive modulator,
Mechanism of Action,Orexin receptor 2 antagonist,Antagonist,
Mechanism of Action,HER2 and EGFR kinase inhibitor,Inhibition,
Mechanism of Action,Interleukin-13 receptor subunit alpha-2 binding agent,Binding agent,
Mechanism of Action,Survival motor neuron protein positive modulator,Positive modulator,
Mechanism of Action,CD40 ligand antagonist,Antagonist,
Mechanism of Action,ADM stabiliser,Stabiliser,
Mechanism of Action,Baculoviral IAP repeat-containing protein 5 vaccine antigen,Vaccine antigen,
Mechanism of Action,TOPO I inhibitor,Inhibition,
Mechanism of Action,DNA (cytosine-5)-methyltransferase 1 inhibitor,Inhibition,
Mechanism of Action,Ephrin type-B receptor 4 inhibitor,Inhibition,
Mechanism of Action,Cannabinoid CB1 receptor inverse agonist,Inverse agonist,
Mechanism of Action,CD44 antigen binding agent,Binding agent,
Mechanism of Action,Serine/threonine-protein kinase AKT negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Tyrosine-protein kinase receptor FLT3 binding agent,Binding agent,
Mechanism of Action,Mucin-1 vaccine antigen,Vaccine antigen,
Mechanism of Action,Acyl coenzyme A:cholesterol acyltransferase 2 inhibitor,Inhibition,
Mechanism of Action,Retinoic acid receptor antagonist,Antagonist,
Mechanism of Action,Angiopoietin-related protein 3 inhibitor,Inhibition,
Mechanism of Action,Serotonin 2 receptors; 5-HT2a & 5-HT2c antagonist,Antagonist,
Mechanism of Action,Pancreatic lipase inhibitor,Inhibition,
Mechanism of Action,Receptor-interacting serine/threonine-protein kinase 1 inhibitor,Inhibition,
Mechanism of Action,Sigma opioid receptor modulator,Modulator,
Mechanism of Action,Tyrosine-protein kinase BRK inhibitor,Inhibition,
Mechanism of Action,Lanosterol 14-alpha demethylase inhibitor,Inhibition,
Mechanism of Action,GABA receptor alpha-3 subunit positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Steryl-sulfatase inhibitor,Inhibition,
Mechanism of Action,Nectin-4 binding agent,Binding agent,
Mechanism of Action,Probable protein-cysteine N-palmitoyltransferase porcupine inhibitor,Inhibition,
Mechanism of Action,Retinoic acid receptor alpha agonist,Agonist,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 4 antagonist,Antagonist,
Mechanism of Action,Coagulation factor VII positive modulator,Positive modulator,
Mechanism of Action,Alpha-1a adrenergic receptor antagonist,Antagonist,
Mechanism of Action,Interleukin-1 beta inhibitor,Inhibition,
Mechanism of Action,Adenosine A3 receptor agonist,Agonist,
Mechanism of Action,Nucleotide-binding oligomerization domain-containing protein 2 other,Binding,
Mechanism of Action,Epithelial cell adhesion molecule inhibitor,Inhibition,
Mechanism of Action,Muscarinic acetylcholine receptor M2 partial agonist,Partial agonist,
Mechanism of Action,Sigma opioid receptor antagonist,Antagonist,
Mechanism of Action,Neurogenic locus notch homolog protein 1 inhibitor,Inhibition,
Mechanism of Action,1-phosphatidylinositol 3-phosphate 5-kinase inhibitor,Inhibition,
Mechanism of Action,Beta-secretase 1 inhibitor,Inhibition,
Mechanism of Action,IL-10 receptor agonist,Agonist,
Mechanism of Action,CDK inhibitor,Inhibition,
Mechanism of Action,"RAF, VEGFR2, and PDGFR-beta inhibitors",Inhibition,
Mechanism of Action,Insulin-like growth factor I receptor agonist,Agonist,
Mechanism of Action,Growth hormone-releasing hormone receptor agonist,Agonist,
Mechanism of Action,Carbonic anhydrase IX other,Binding,
Mechanism of Action,Interleukin 13 receptor binding agent,Binding agent,
Mechanism of Action,Programmed cell death 1 ligand 1 other,Binding,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 3 agonist,Agonist,
Mechanism of Action,NKG2-A/NKG2-B type II integral membrane protein inhibitor,Inhibition,
Mechanism of Action,Leukotriene B4 receptor antagonist,Antagonist,
Mechanism of Action,Cellular tumor antigen p53 positive modulator,Positive modulator,
Mechanism of Action,Sialic acid-binding Ig-like lectin 8 inhibitor,Inhibition,
Mechanism of Action,Matrix metalloproteinase 12 inhibitor,Inhibition,
Mechanism of Action,blocks PDL-1/2-dependent negative regulation of T,Regulation blocker,
Mechanism of Action,Histamine H2 receptor agonist,Agonist,
Mechanism of Action,Tyrosine-protein kinase FRK inhibitor,Inhibition,
Mechanism of Action,Niemann-Pick C1-like protein 1 inhibitor,Inhibition,
Mechanism of Action,Granulocyte-macrophage colony-stimulating factor receptor agonist,Agonist,
Mechanism of Action,Mitogen-activated protein kinase kinase kinase 1 inhibitor,Inhibition,
Mechanism of Action,3-phosphoinositide dependent protein kinase-1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-8 receptor A antagonist,Antagonist,
Mechanism of Action,Proto-oncogene Mas agonist,Agonist,
Mechanism of Action,Integrin alpha-4/beta-1 antagonist,Antagonist,
Mechanism of Action,Integrin alpha-4/beta-7 antagonist,Antagonist,
Mechanism of Action,Lysyl oxidase homolog 2 inhibitor,Inhibition,
Mechanism of Action,Mesothelin inhibitor,Inhibition,
Mechanism of Action,Transforming growth factor beta-2 inhibitor,Inhibition,
Mechanism of Action,Epidermal growth factor receptor erbB1 cross-linking agent,Cross-linking agent,
Mechanism of Action,Retinoic acid receptor gamma agonist,Agonist,
Mechanism of Action,Hepatocyte growth factor receptor binding agent,Binding agent,
Mechanism of Action,Tumor necrosis factor ligand superfamily member 4 inhibitor,Inhibition,
Mechanism of Action,Toll-like receptor 4 inhibitor,Inhibition,
Mechanism of Action,Epoxide hydratase inhibitor,Inhibition,
Mechanism of Action,FGF1/KLB activator,Activation,
Mechanism of Action,FGFR4-KLB activator,Activation,
Mechanism of Action,Growth hormone receptor antagonist,Antagonist,
Mechanism of Action,Fibronectin proteolytic enzyme,Binding,
Mechanism of Action,Frizzled-7 antagonist,Antagonist,
Mechanism of Action,Integrin beta-7 antagonist,Antagonist,
Mechanism of Action,Histone deacetylase 8 inhibitor,Inhibition,
Mechanism of Action,Protective antigen inhibitor,Inhibition,
Mechanism of Action,B-lymphocyte antigen CD20 cross-linking agent,Cross-linking agent,
Mechanism of Action,Sodium-dependent phosphate transport protein 2B binding agent,Binding agent,
Mechanism of Action,Advanced glycosylation end product-specific receptor antagonist,Antagonist,
Mechanism of Action,Topoisomerase IV,Binding,
Mechanism of Action,B-lymphocyte antigen CD19 inhibitor,Inhibition,
Mechanism of Action,Beta-1 adrenergic receptor partial agonist,Partial agonist,
Mechanism of Action,4-hydroxyphenylpyruvate dioxygenase inhibitor,Inhibition,
Mechanism of Action,Interferon gamma receptor agonist,Agonist,
Mechanism of Action,C-C chemokine receptor type 9 antagonist,Antagonist,
Mechanism of Action,Interleukin-8 receptor B antagonist,Antagonist,
Mechanism of Action,Cholecystokinin B receptor antagonist,Antagonist,
Mechanism of Action,Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR) agonist,Agonist,
